num,nftype,ws,wd,slope,mc1,mc10,mc100,mcHerb,mcWoody,Load_1h,Load_10h,Load_100h,Load_Live_Herb,Load_Live_Woody,SA/V_1h,SA/V_Live_Herb,SA/V_Live_Woody,Fuel_Bed_Depth,Mx_dead,HROS,FROS,BROS
1200,101,20,0,60,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,58.73,4.755952539,0.385136805
1204,101,20,0,65,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,59.36,4.777930367,0.384579154
1208,101,20,0,70,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,60.05,4.803245325,0.384199262
1212,101,20,0,75,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,60.79,4.82982184,0.383733822
1216,101,20,0,80,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,61.58,4.857595981,0.383180233
1220,101,20,0,85,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,62.43,4.887284933,0.382597373
1440,101,25,0,0,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,77.74,5.385214221,0.373045179
1444,101,25,0,5,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,77.77,5.386127602,0.373027781
1448,101,25,0,10,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,77.84,5.388645459,0.373040852
1452,101,25,0,15,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,77.97,5.39181877,0.372857633
1456,101,25,0,20,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,78.15,5.397275305,0.372752153
1460,101,25,0,25,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,78.38,5.405002735,0.37272333
1464,101,25,0,30,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,78.66,5.412659572,0.372449576
1468,101,25,0,35,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,78.99,5.422554733,0.372250916
1472,101,25,0,40,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,79.37,5.434666162,0.372125442
1476,101,25,0,45,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,79.81,5.447329952,0.371800571
1480,101,25,0,50,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,80.29,5.461475223,0.371499709
1484,101,25,0,55,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,80.83,5.477274913,0.371156012
1488,101,25,0,60,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,81.41,5.494498083,0.370832934
1492,101,25,0,65,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,82.05,5.513304732,0.370463487
1496,101,25,0,70,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,82.74,5.534136988,0.370155574
1500,101,25,0,75,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,83.48,5.55464648,0.369598677
1504,101,25,0,80,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,84.27,5.578255213,0.369252773
1508,101,25,0,85,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,85.11,5.601462238,0.368656788
1728,101,30,0,0,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,103.09,6.083044083,0.358942917
1732,101,30,0,5,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,103.12,6.083695097,0.358915303
1736,101,30,0,10,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,103.19,6.085586157,0.358894843
1740,101,30,0,15,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,103.32,6.088774813,0.358818997
1744,101,30,0,20,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,103.5,6.093784431,0.358784625
1748,101,30,0,25,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,103.73,6.099488891,0.358659643
1752,101,30,0,30,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,104.01,6.10587932,0.358444018
1756,101,30,0,35,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,104.34,6.114062126,0.358268695
1760,101,30,0,40,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,104.73,6.124607873,0.358166921
1764,101,30,0,45,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,105.16,6.135213552,0.357938811
1768,101,30,0,50,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,105.64,6.146449136,0.357618677
1772,101,30,0,55,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,106.18,6.159991316,0.357369495
1776,101,30,0,60,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,106.77,6.175234502,0.357155766
1780,101,30,0,65,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,107.4,6.190465988,0.356814424
1784,101,30,0,70,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,108.09,6.20681814,0.35641217
1788,101,30,0,75,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,108.83,6.224798779,0.356042634
1792,101,30,0,80,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,109.62,6.244379327,0.355704006
1796,101,30,0,85,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,110.47,6.26498956,0.355300934
2016,101,35,0,0,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,130.9,6.728093418,0.34581544
2020,101,35,0,5,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,130.93,6.728558062,0.345783958
2024,101,35,0,10,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,131.0,6.730000645,0.345747395
2028,101,35,0,15,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,131.13,6.733446532,0.345758424
2032,101,35,0,20,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,131.31,6.737301044,0.345679882
2036,101,35,0,25,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,131.54,6.741559539,0.345511822
2040,101,35,0,30,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,131.82,6.748368261,0.345474694
2044,101,35,0,35,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,132.15,6.754490895,0.345237588
2048,101,35,0,40,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,132.53,6.763145706,0.34513046
2052,101,35,0,45,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,132.97,6.772680403,0.344959012
2056,101,35,0,50,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,133.45,6.782064559,0.34467141
2060,101,35,0,55,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,133.99,6.794449902,0.344537275
2064,101,35,0,60,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,134.58,6.806092677,0.344203429
2068,101,35,0,65,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,135.21,6.819691021,0.343970014
2072,101,35,0,70,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,135.9,6.83409382,0.343670628
2076,101,35,0,75,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,136.64,6.849848666,0.343387198
2080,101,35,0,80,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,137.43,6.865867105,0.343011941
2084,101,35,0,85,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,138.27,6.883198698,0.34265151
2304,101,40,0,0,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,161.0,7.330637077,0.333777888
2308,101,40,0,5,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,161.03,7.330963834,0.333745456
2312,101,40,0,10,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,161.1,7.332072197,0.33370132
2316,101,40,0,15,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,161.23,7.3348709,0.333686852
2320,101,40,0,20,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,161.41,7.337863232,0.333586747
2324,101,40,0,25,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,161.64,7.343122791,0.333589782
2328,101,40,0,30,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,161.92,7.347529438,0.333412728
2332,101,40,0,35,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,162.25,7.35419249,0.333338349
2336,101,40,0,40,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,162.63,7.361029204,0.333178079
2340,101,40,0,45,3,4,5,30,60,0.22,0.0,0.0,0.67,0.0,7218,6562,0,12,15,163.07,7.369521672,0.333046236
