number,value,datetime_start,datetime_complete,duration,params_BFactor,params_EFactor,params_FFactor,params_HFactor,params_fperiod,state
78,0.9174865156354315,2025-04-10 12:58:45.775937,2025-04-10 12:58:47.898443,0 days 00:00:02.122506,1.4532123705955744,0.8493246906604482,1.0684622815144542,1.025537475792379,2,COMPLETE
79,0.8997857957854826,2025-04-10 12:58:47.900403,2025-04-10 12:58:50.169819,0 days 00:00:02.269416,1.4378146944454873,0.8655490013799978,1.1811095794186168,1.1030571195230043,2,COMPLETE
80,0.9216762538845147,2025-04-10 12:58:50.172055,2025-04-10 12:58:51.945947,0 days 00:00:01.773892,1.4582435278324948,0.715196108438187,1.0099137234714028,1.0608226939635033,2,COMPLETE
81,0.9263098351127494,2025-04-10 12:58:51.947919,2025-04-10 12:58:53.749433,0 days 00:00:01.801514,1.4761090736398055,0.8303393711105805,1.0927879098626896,1.0677596378405383,2,COMPLETE
82,0.9248731546062097,2025-04-10 12:58:53.752192,2025-04-10 12:58:55.594877,0 days 00:00:01.842685,1.477628419070211,0.8546400010804764,1.1094916185318502,1.0451880809625949,2,COMPLETE
83,0.925165300990111,2025-04-10 12:58:55.597323,2025-04-10 12:58:57.423684,0 days 00:00:01.826361,1.4841677168196548,0.8357423669558391,1.0766156386832657,1.0731604019003602,2,COMPLETE
84,0.9246021365534401,2025-04-10 12:58:57.426001,2025-04-10 12:58:59.251039,0 days 00:00:01.825038,1.492380639055486,0.8258696397206234,1.0940328760493783,1.0832605279640648,2,COMPLETE
85,0.9233255494026971,2025-04-10 12:58:59.252986,2025-04-10 12:59:01.098035,0 days 00:00:01.845049,1.4675083114420207,0.8453120299167933,1.0859868803332344,1.0647979191513715,2,COMPLETE
86,0.91720701448446,2025-04-10 12:59:01.100427,2025-04-10 12:59:02.940670,0 days 00:00:01.840243,1.4735268151378385,0.8317033432016863,1.051626863662896,1.0515823619184363,2,COMPLETE
87,0.9149214335764377,2025-04-10 12:59:02.943566,2025-04-10 12:59:05.166976,0 days 00:00:02.223410,1.4154648839634434,0.7011045672817705,1.0585557751206103,1.0430609866789626,1,COMPLETE
88,0.9158744571948436,2025-04-10 12:59:05.169344,2025-04-10 12:59:06.963061,0 days 00:00:01.793717,1.4642529535045592,0.8100446132122747,1.070117734701608,1.059194282816901,2,COMPLETE
89,0.9006043079485369,2025-04-10 12:59:06.965400,2025-04-10 12:59:08.942271,0 days 00:00:01.976871,1.429932122821284,0.8760425609137362,1.0819088219632202,1.0774525473950975,2,COMPLETE
90,0.9174865156354315,2025-04-10 12:59:08.944483,2025-04-10 12:59:10.924669,0 days 00:00:01.980186,1.424352164418982,0.7982546849673885,1.0345739901418158,1.0919379166325716,2,COMPLETE
91,0.9214020136598342,2025-04-10 12:59:10.937988,2025-04-10 12:59:12.901335,0 days 00:00:01.963347,1.4823191858029374,0.8232940084247891,1.0972733570830224,1.0693125567555233,2,COMPLETE
92,0.9216762538845147,2025-04-10 12:59:12.904841,2025-04-10 12:59:14.800685,0 days 00:00:01.895844,1.4930578492019555,0.7100352975493669,1.0920035723986317,1.0668409911516838,2,COMPLETE
93,0.9233255494026971,2025-04-10 12:59:14.803038,2025-04-10 12:59:16.846474,0 days 00:00:02.043436,1.475688850315243,0.831024481694657,1.1028205800612083,1.0836226247216882,2,COMPLETE
94,0.9263098351127494,2025-04-10 12:59:16.848821,2025-04-10 12:59:18.756697,0 days 00:00:01.907876,1.3954789511297352,0.8257742068737496,1.074699358863295,1.0743180589502055,2,COMPLETE
95,0.9233255494026971,2025-04-10 12:59:18.759094,2025-04-10 12:59:20.645990,0 days 00:00:01.886896,1.3834186207615857,0.8374552106948593,1.0638349830803564,1.074966486678703,2,COMPLETE
96,0.9238409286170854,2025-04-10 12:59:20.649575,2025-04-10 12:59:22.792034,0 days 00:00:02.142459,1.396843721016046,0.7230026422885315,1.073521272729089,1.0609906524741535,2,COMPLETE
97,0.9060524032120367,2025-04-10 12:59:22.794342,2025-04-10 12:59:24.811020,0 days 00:00:02.016678,1.4024499244285673,0.8572465879815042,1.0468916719661772,1.0724941529551,2,COMPLETE
98,0.924778742889524,2025-04-10 12:59:24.814338,2025-04-10 12:59:26.642948,0 days 00:00:01.828610,1.4099794114969044,0.8176263006319237,1.0772587541674568,1.0918376780922445,2,COMPLETE
99,0.9170452847047064,2025-04-10 12:59:26.645486,2025-04-10 12:59:28.458544,0 days 00:00:01.813058,1.416910124468549,0.7177306559082981,1.0273294125606351,1.0324060009005813,2,COMPLETE
